order_id,sku,warehouse,status,created_at,shipped_at
ORD-1067,SKU-NV66,BLR-01,pending,2026-01-10T06:50:00,
ORD-1068,SKU-AX12,MUM-02,delayed,2026-01-08T10:15:00,
ORD-1069,SKU-BX44,DEL-01,shipped,2026-01-10T07:30:00,2026-01-10T15:00:00
ORD-1070,SKU-CM88,BLR-02,pending,2026-01-10T09:40:00,
ORD-1071,SKU-DK21,MUM-01,delayed,2026-01-08T11:20:00,
ORD-1072,SKU-LP55,DEL-02,shipped,2026-01-10T06:20:00,2026-01-10T13:50:00
ORD-1073,SKU-ZT90,BLR-01,pending,2026-01-10T10:10:00,
ORD-1074,SKU-QW11,MUM-02,delayed,2026-01-08T12:00:00,
ORD-1075,SKU-RX77,DEL-01,shipped,2026-01-10T07:00:00,2026-01-10T14:30:00
ORD-1076,SKU-JK33,BLR-02,pending,2026-01-10T11:45:00,
ORD-1077,SKU-HH19,MUM-01,delayed,2026-01-08T09:10:00,
ORD-1078,SKU-PM72,DEL-02,shipped,2026-01-10T08:10:00,2026-01-10T16:00:00
ORD-1079,SKU-TT48,BLR-01,pending,2026-01-11T06:40:00,
ORD-1080,SKU-NV66,MUM-02,delayed,2026-01-09T10:00:00,
ORD-1081,SKU-AX12,DEL-01,shipped,2026-01-11T07:20:00,2026-01-11T15:10:00
ORD-1082,SKU-BX44,BLR-02,pending,2026-01-11T09:30:00,
ORD-1083,SKU-CM88,MUM-01,delayed,2026-01-09T11:45:00,
ORD-1084,SKU-DK21,DEL-02,shipped,2026-01-11T06:10:00,2026-01-11T13:40:00
ORD-1085,SKU-LP55,BLR-01,pending,2026-01-11T10:15:00,
ORD-1086,SKU-ZT90,MUM-02,delayed,2026-01-09T12:00:00,
ORD-1087,SKU-QW11,DEL-01,shipped,2026-01-11T07:00:00,2026-01-11T14:20:00
ORD-1088,SKU-RX77,BLR-02,pending,2026-01-11T11:30:00,
ORD-1089,SKU-JK33,MUM-01,delayed,2026-01-09T09:00:00,
ORD-1090,SKU-HH19,DEL-02,shipped,2026-01-11T08:20:00,2026-01-11T16:00:00
ORD-1091,SKU-PM72,BLR-01,pending,2026-01-12T06:50:00,
ORD-1092,SKU-TT48,MUM-02,delayed,2026-01-10T10:15:00,
ORD-1093,SKU-NV66,DEL-01,shipped,2026-01-12T07:30:00,2026-01-12T15:00:00
ORD-1094,SKU-AX12,BLR-02,pending,2026-01-12T09:40:00,
ORD-1095,SKU-BX44,MUM-01,delayed,2026-01-10T11:20:00,
ORD-1096,SKU-CM88,DEL-02,shipped,2026-01-12T06:20:00,2026-01-12T13:50:00
ORD-1097,SKU-DK21,BLR-01,pending,2026-01-12T10:10:00,
ORD-1098,SKU-LP55,MUM-02,delayed,2026-01-10T12:00:00,
ORD-1099,SKU-ZT90,DEL-01,shipped,2026-01-12T07:00:00,2026-01-12T14:30:00
ORD-1100,SKU-QW11,BLR-02,pending,2026-01-12T11:45:00,
ORD-1101,SKU-RX77,MUM-01,delayed,2026-01-10T09:10:00,
ORD-1102,SKU-JK33,DEL-02,shipped,2026-01-12T08:10:00,2026-01-12T16:00:00
ORD-1103,SKU-HH19,BLR-01,pending,2026-01-13T06:40:00,
ORD-1104,SKU-PM72,MUM-02,delayed,2026-01-11T10:00:00,
ORD-1105,SKU-TT48,DEL-01,shipped,2026-01-13T07:20:00,2026-01-13T15:10:00
ORD-1106,SKU-NV66,BLR-02,pending,2026-01-13T09:30:00,
ORD-1107,SKU-AX12,MUM-01,delayed,2026-01-11T11:45:00,
ORD-1108,SKU-BX44,DEL-02,shipped,2026-01-13T06:10:00,2026-01-13T13:40:00
ORD-1109,SKU-CM88,BLR-01,pending,2026-01-13T10:15:00,
ORD-1110,SKU-DK21,MUM-02,delayed,2026-01-11T12:00:00,
ORD-1111,SKU-LP55,DEL-01,shipped,2026-01-13T07:00:00,2026-01-13T14:20:00
ORD-1112,SKU-ZT90,BLR-02,pending,2026-01-13T11:30:00,
ORD-1113,SKU-QW11,MUM-01,delayed,2026-01-11T09:00:00,
ORD-1114,SKU-RX77,DEL-02,shipped,2026-01-13T08:20:00,2026-01-13T16:00:00
ORD-1115,SKU-JK33,BLR-01,pending,2026-01-14T06:50:00,
ORD-1116,SKU-HH19,MUM-02,delayed,2026-01-12T10:15:00,
ORD-1117,SKU-PM72,DEL-01,shipped,2026-01-14T07:30:00,2026-01-14T15:00:00
ORD-1118,SKU-TT48,BLR-02,pending,2026-01-14T09:40:00,
ORD-1119,SKU-NV66,MUM-01,delayed,2026-01-12T11:20:00,
ORD-1120,SKU-AX12,DEL-02,shipped,2026-01-14T06:20:00,2026-01-14T13:50:00
ORD-1121,SKU-MF66,MUM-01,rejected,2026-01-18T11:20:00,
